,createdAt,merchant,category,amount
1600,2020-01-01 01:40:46,Best Buy,Shopping,330.09
8858,2020-01-01 02:43:34,Apple Store,Shopping,428.13
3593,2020-01-01 07:33:00,Target,Groceries,321.31
1902,2020-01-01 13:14:07,Apple Store,Shopping,57.58
9155,2020-01-01 23:53:35,Target,Groceries,395.69
592,2020-01-02 01:39:30,Netflix,Entertainment,305.92
2650,2020-01-02 03:30:05,Airbnb,Travel,332.33
8954,2020-01-02 05:13:32,Starbucks,Health,476.94
8767,2020-01-02 07:43:35,Best Buy,Shopping,43.16
6778,2020-01-02 11:00:18,Airbnb,Travel,96.83
9504,2020-01-02 11:41:50,Apple Store,Electronics,191.8
9439,2020-01-02 12:28:33,Apple Store,Electronics,116.9
388,2020-01-02 12:45:28,Best Buy,Shopping,393.43
4974,2020-01-02 16:56:59,Uber,Travel,319.31
7032,2020-01-02 17:14:23,Best Buy,Electronics,302.39
9192,2020-01-02 18:32:49,Spotify,Entertainment,343.9
9375,2020-01-02 20:34:49,Apple Store,Electronics,358.86
7213,2020-01-03 00:47:36,Netflix,Entertainment,463.21
3242,2020-01-03 05:17:39,Walmart,Utilities,177.14
3372,2020-01-03 09:03:13,Amazon,Shopping,123.89
1569,2020-01-03 15:04:44,Starbucks,Dining,9.75
9235,2020-01-03 16:14:22,Uber,Transportation,477.62
6953,2020-01-03 18:03:24,Target,Shopping,346.95
5789,2020-01-03 20:37:14,Apple Store,Shopping,422.32
1252,2020-01-03 23:49:59,Netflix,Entertainment,395.36
3333,2020-01-04 00:19:46,Spotify,Entertainment,442.52
5168,2020-01-04 06:09:05,Best Buy,Electronics,455.25
3292,2020-01-04 09:28:00,Best Buy,Shopping,387.21
5516,2020-01-04 09:51:11,Netflix,Entertainment,110.89
9271,2020-01-04 13:26:41,Starbucks,Dining,392.83
2131,2020-01-04 13:49:50,Netflix,Entertainment,54.75
1418,2020-01-04 18:52:36,Uber,Transportation,25.19
2018,2020-01-04 19:42:24,Walmart,Utilities,440.0
8559,2020-01-05 06:32:22,Airbnb,Travel,439.1
1045,2020-01-05 09:02:53,Walmart,Groceries,265.52
5475,2020-01-05 10:44:51,Netflix,Entertainment,383.59
4187,2020-01-05 10:48:02,Netflix,Entertainment,299.69
9089,2020-01-05 15:52:49,Target,Shopping,39.57
1912,2020-01-05 16:40:45,Starbucks,Dining,345.01
5098,2020-01-05 23:36:08,Netflix,Entertainment,401.37
9933,2020-01-06 00:11:37,Uber,Travel,18.2
4237,2020-01-06 01:50:56,Walmart,Shopping,100.5
7082,2020-01-06 05:41:13,Starbucks,Dining,98.51
1781,2020-01-06 07:16:09,Apple Store,Shopping,14.5
7302,2020-01-06 11:48:58,Airbnb,Travel,455.29
6615,2020-01-06 16:23:23,Uber,Transportation,129.12
5484,2020-01-06 18:55:50,Spotify,Entertainment,97.0
9435,2020-01-07 01:15:04,Spotify,Entertainment,385.84
4301,2020-01-07 09:16:30,Best Buy,Electronics,282.21
1641,2020-01-07 09:21:14,Airbnb,Travel,250.56
6113,2020-01-07 10:40:33,Starbucks,Dining,43.29
8686,2020-01-07 10:40:56,Apple Store,Shopping,160.51
1772,2020-01-07 11:59:20,Netflix,Entertainment,394.28
161,2020-01-08 12:11:46,Netflix,Entertainment,252.18
7727,2020-01-09 00:54:05,Airbnb,Travel,488.89
7433,2020-01-09 01:16:11,Airbnb,Travel,416.54
8938,2020-01-09 01:53:10,Best Buy,Shopping,5.07
4822,2020-01-09 08:11:20,Walmart,Shopping,109.68
9524,2020-01-09 12:35:57,Airbnb,Travel,427.99
6689,2020-01-09 19:38:16,Netflix,Entertainment,73.17
8335,2020-01-09 21:32:21,Apple Store,Electronics,29.71
3771,2020-01-10 00:34:26,Airbnb,Travel,488.12
7244,2020-01-10 02:35:12,Best Buy,Electronics,234.96
7301,2020-01-10 02:44:42,Amazon,Entertainment,230.72
7710,2020-01-10 15:14:21,Amazon,Travel,45.59
6707,2020-01-10 18:10:52,Best Buy,Electronics,280.4
7691,2020-01-10 18:41:50,Walmart,Shopping,181.31
7940,2020-01-11 03:07:29,Airbnb,Travel,437.93
4053,2020-01-11 04:31:37,Amazon,Entertainment,438.1
1408,2020-01-11 04:55:17,Apple Store,Shopping,82.44
3945,2020-01-11 08:05:32,Uber,Travel,80.0
5117,2020-01-11 21:25:58,Apple Store,Shopping,138.11
8755,2020-01-11 23:50:12,Best Buy,Electronics,265.68
6912,2020-01-12 05:13:08,Spotify,Entertainment,9.83
7070,2020-01-12 05:19:15,Best Buy,Shopping,228.41
5539,2020-01-12 19:49:35,Walmart,Shopping,229.37
8478,2020-01-12 20:54:34,Netflix,Entertainment,151.29
8675,2020-01-13 01:27:44,Amazon,Entertainment,462.93
7332,2020-01-13 13:11:04,Walmart,Groceries,321.14
9036,2020-01-13 15:13:08,Starbucks,Health,312.04
2474,2020-01-14 01:22:29,Amazon,Entertainment,407.89
737,2020-01-14 03:40:04,Starbucks,Dining,386.23
8259,2020-01-14 05:42:33,Uber,Transportation,50.68
3663,2020-01-14 13:22:05,Best Buy,Electronics,278.76
8969,2020-01-14 19:25:30,Apple Store,Electronics,324.45
2396,2020-01-15 07:59:04,Spotify,Entertainment,16.94
1694,2020-01-15 19:11:54,Starbucks,Dining,435.49
6608,2020-01-16 02:43:13,Starbucks,Dining,438.53
4860,2020-01-16 04:36:13,Apple Store,Electronics,199.25
6063,2020-01-16 14:23:44,Walmart,Utilities,429.55
1315,2020-01-16 14:46:14,Spotify,Entertainment,167.86
569,2020-01-16 16:00:50,Starbucks,Health,156.36
5177,2020-01-16 16:19:06,Spotify,Entertainment,226.02
3497,2020-01-16 23:55:24,Netflix,Entertainment,316.05
5301,2020-01-17 00:52:43,Airbnb,Travel,34.57
6420,2020-01-17 08:56:12,Netflix,Entertainment,447.27
6951,2020-01-17 13:03:27,Spotify,Entertainment,225.16
158,2020-01-17 13:37:54,Best Buy,Shopping,468.98
5367,2020-01-17 14:24:06,Airbnb,Travel,5.49
5797,2020-01-17 17:09:45,Apple Store,Electronics,231.54
5318,2020-01-18 02:30:15,Best Buy,Electronics,84.23
7300,2020-01-18 02:45:48,Spotify,Entertainment,266.74
2608,2020-01-18 03:14:27,Starbucks,Health,298.43
5241,2020-01-18 06:23:16,Spotify,Entertainment,403.33
7487,2020-01-18 09:21:41,Target,Shopping,123.1
7962,2020-01-18 11:39:27,Spotify,Entertainment,279.31
1344,2020-01-18 17:34:42,Amazon,Entertainment,115.28
7052,2020-01-19 04:05:09,Airbnb,Travel,147.09
6532,2020-01-19 04:08:17,Best Buy,Electronics,181.78
3646,2020-01-19 06:31:32,Airbnb,Travel,42.08
9825,2020-01-19 10:12:17,Uber,Transportation,203.48
6340,2020-01-19 11:47:34,Uber,Travel,50.42
6073,2020-01-19 12:20:33,Apple Store,Electronics,200.59
228,2020-01-19 15:45:06,Target,Shopping,140.93
3633,2020-01-20 02:11:03,Apple Store,Shopping,14.07
3324,2020-01-20 18:13:08,Spotify,Entertainment,450.88
8113,2020-01-20 22:48:57,Walmart,Utilities,99.86
8753,2020-01-20 23:36:50,Netflix,Entertainment,423.7
2877,2020-01-21 12:27:29,Uber,Travel,355.61
49,2020-01-21 14:18:30,Netflix,Entertainment,361.91
137,2020-01-21 16:51:00,Apple Store,Electronics,247.35
5341,2020-01-21 21:12:56,Apple Store,Shopping,100.39
5907,2020-01-22 02:04:19,Best Buy,Shopping,45.24
3088,2020-01-22 03:41:51,Starbucks,Health,469.72
9804,2020-01-22 07:16:16,Starbucks,Dining,226.74
670,2020-01-22 08:16:27,Netflix,Entertainment,58.85
2367,2020-01-22 11:39:05,Starbucks,Health,447.09
6358,2020-01-22 16:34:08,Amazon,Travel,467.16
4805,2020-01-22 18:17:37,Apple Store,Shopping,497.92
7293,2020-01-22 18:28:33,Airbnb,Travel,98.98
3821,2020-01-22 22:07:17,Starbucks,Dining,389.99
2718,2020-01-23 01:06:10,Best Buy,Electronics,327.62
2427,2020-01-23 01:34:20,Uber,Travel,164.65
4003,2020-01-23 03:40:28,Airbnb,Travel,242.06
918,2020-01-23 04:31:06,Amazon,Entertainment,49.11
9954,2020-01-23 09:05:53,Airbnb,Travel,72.73
2385,2020-01-23 09:26:48,Apple Store,Shopping,417.57
3779,2020-01-23 12:20:49,Airbnb,Travel,444.49
8801,2020-01-23 12:38:40,Starbucks,Dining,410.34
3518,2020-01-23 14:57:24,Uber,Transportation,145.98
3377,2020-01-23 14:58:29,Airbnb,Travel,228.66
849,2020-01-23 15:48:30,Starbucks,Health,380.31
2854,2020-01-23 17:54:00,Apple Store,Shopping,407.08
653,2020-01-23 21:49:11,Apple Store,Electronics,268.7
5677,2020-01-24 01:17:22,Netflix,Entertainment,349.78
7463,2020-01-24 05:08:31,Best Buy,Electronics,323.49
783,2020-01-24 05:23:35,Airbnb,Travel,486.86
910,2020-01-24 11:26:44,Target,Groceries,264.42
9151,2020-01-24 13:03:36,Best Buy,Shopping,277.69
1175,2020-01-24 13:17:09,Spotify,Entertainment,352.27
8984,2020-01-24 14:18:12,Starbucks,Health,214.02
7055,2020-01-24 15:10:54,Best Buy,Electronics,219.66
1060,2020-01-24 16:26:57,Apple Store,Electronics,260.02
8709,2020-01-24 22:13:46,Netflix,Entertainment,270.29
1174,2020-01-25 02:14:02,Uber,Travel,281.44
7160,2020-01-25 02:55:48,Starbucks,Dining,253.4
9206,2020-01-25 10:17:38,Apple Store,Shopping,317.41
